ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
184,내년,NOUN,next year,来年,próximo año,tahun depan,나 내년에 결혼할 거야.,I'm going to get married next year.,私来年結婚するつもり。,Me voy a casar el próximo año. ,Saya akan menikah tahun depan.,
185,내다,VERB,"to give, to hand in, to make",出す,"dar, entregar","memberikan, menyerahkan, membuat",답안지를 내세요.,Hand in your answer sheet.,答案紙を出してください。,Entreguen la hoja con las respuestas.,Serahkan lembar jawaban anda.,
186,내려가다,VERB,to go down,"下りる, 下る",bajar,turun,조심해서 계단을 내려가라.,Go down the stairs carefully.,気を付けて階段をおりなさい。,Bajar las escaleras cuidadosamente.,Turuni tangga dengan hati-hati. ,
187,내려오다,VERB,to come down,"下りてくる, 降りる","bajar, venir abajo ",turun ,산은 내려오는 것이 더 어렵다.,It is more difficult to come down the mountain.,山は降りるのがもっと難しい。,Es más difícil bajar las montañas.,Lebih sulit menuruni gunung. ,
188,내리다,VERB,to fall; to get off,"降る, 下りる",caer,turun,어제 눈 내리는 거 봤어?,Did you see the snow fall yesterday?,昨日雪降るの見たの?,¿Ayer has visto caer la nieve?,Apakah kamu melihat salju turun kemarin? ,
189,내일,"NOUN, ADV",tomorrow,明日,mañana,besok,내일은 월요일이야.,Tomorrow is Monday. ,明日は月曜日だ。,La mañana es lunes.,Besok adalah hari senin.,
190,냄새,NOUN,"smell, odor",におい,olor,"bau, bau (busuk)  ",이게 무슨 냄새죠?,What is this smell?,これ何のにおいですか?,¿Qué es este olor?,Bau apa ini?,
191,냉면,NOUN,naengmyeon (Korean cold noodle),冷麺,negmion (fríos fideos coreanos),naengmyeon (Mie-dingin Korea),저 식당은 냉면으로 유명해.,That restaurant is famous for naengmyeon.,あの食堂は冷麺で有名なの。,Ese restaurante es famoso por negmion.,Restoran itu terkenal dengan naengmyeon.,
192,냉장고,NOUN,refrigerator,冷蔵庫,resfrigerador ,"kulkas, lemari es",김치냉장고가 필요해.,I need a refrigerator for kimchi.,キムチ冷蔵庫が必要なの。,Necesito un refrigerador para el kimchi.,Saya butuh lemari es untuk kimchi.,
193,너,PRONOUN,you,お前,tú,"kamu, anda",항상 너와 함께 있을게.,I'll always be with you.,いつもお前と一緒にいる。,Estaré siempre contigo.,Saya akan selalu bersama anda.,
194,너무,ADV,too ,"とても, あまりに","demasiado, exesivo",terlalu,그 옷은 나한테 너무 작아.,The dress is too small for me.,その服は私に小さすぎる。,El vestido es demasiado pequeño para mí.,Pakaian ini terlalu kecil untuk saya.,
195,넓다,ADJ,to be large ,広い,amplia,besar ,그녀는 넓은 집에서 살고 싶어한다.,She wants to live in a large house.,彼女は広い家で暮したがる。,Ella desea vivir en una casa amplia., Dia ingin tinggal di rumah besar.,
196,넣다,VERB,to put (sth in),入れる,poner en,meletakkan (sesuatu didalam),주머니에 손을 넣지 마라.,Don’t  put  your hand in your pocket.,ポケットに手を入れないでね。,No poner tu mano en tu bolsillo.,Jangan letakkan tanganmu dalam saku. ,
197,네,INT,yes,はい,sí,ya,어제 학교 갔었니? - 네.,Did you go to school yesterday? - Yes.,昨日学校行ったの? - はい。,¿Fuiste a la escuela ayer? - Sí.,Apakah kamu pergi ke sekolah kemarin? - Ya,
198,넥타이,NOUN,necktie,ネクタイ,corbata,dasi,다른 넥타이를 매는 게 어때?,How about wearing another necktie?,他のネクタイをするのはどう?,¿Qué tal usar otra corbata?,Bagaimana kalau memakai dasi yang lain? ,
199,년,NOUN,year,年 (ねん),año,tahun,나는 일 년에 두 번 해외에 간다.,I go abroad twice a year.,私は一年に二度海外へ行く。,Voy al extranjero dos veces al año.,Saya pergi keluar negeri dua kali dalam setahun. ,
200,노란색,NOUN,yellow (color),黄色,amarillo,kuning (warna),이 노란색 모자는 너와 잘 어울린다.,This yellow hat suits you well.,この黄色い帽子はお前によく似合う。,Este sombrero amarillo te queda bien.,Topi kuning ini cocok untukmu.,
201,노래 | 노래하다,NOUN | VERB,song | to sing,歌 | 歌う,canción; cantar,lagu; menyanyi,우리는 밤새 춤추고 노래했다.,We sang and danced  all night long.,私たちは一晩中歌って踊った。,Cantamos y bailamos toda la noche.,Kami berdansa dan bernyanyi semalaman.,
202,노력 | 노력하다,NOUN | VERB,effort | to make an effort,努力 | 努力する,"esfuerzo, tratar",usaha; berusaha,사람들 앞에서 웃으려고 노력했다.,I made an effort to smile in front of others.,人前で笑おうと努力した。,Hice un esfuerzo para sonreír delante de otros.,Saya berusaha untuk tersenyum didepan orang-orang.,
203,노트,NOUN,notebook,ノート,"libro de notas, cuaderno",catatan,이 강의에서는 노트에 적어도 됩니다.,You can take notes in this lecture.,この講義ではノートに書いても良いです。,Puedes tomar notas en esta conferencia.,Anda bisa mencatat dalam kuliah ini. ,
204,놀다,VERB,to play,遊ぶ,jugar,bermain,놀이터에서 놀자!,Let's play at the playground.,遊び場で遊ぼう!,Juguemos en el patio.,Mari bermain di taman bermain.,
205,놀라다,VERB,to be surprised ,驚く,sorprender,terkejut,나는 그녀의 갑작스러운 죽음에 놀랐다.,I was surprised by her sudden death.,私は彼女の急な死に驚いた。,Fui sorprendido por su muerte repentina.,Saya terkejut atas kematiannya yang  mendadak.,
206,놀이,NOUN,"play, game",遊び,"juego, ",permainan,한국의 전통적인 놀이에는 뭐가 있나요? ,What traditional Korean games are there?,韓国の伝統的な遊びには何があるんですか? ,¿Qué juegos coreanos tradicionales hay?,Apa permainan tradisional Korea disana?,
207,농담 | 농담하다,NOUN | VERB,"joke | to kid, to joke",冗談 | 冗談言う,"broma, bromear","lelucon; bercanda, melucu",농담하지 마세요!,No kidding!,冗談言わないでください!,¡Sin embromar!,Jangan bercanda!,
208,높다,ADJ,to be high,高い,alto,tinggi,이 빌딩 정말 높네!,This building is really high!,このビル本当に高いね!,¡Este edificio es realmente alto!,Gedung ini benar-benar tinggi!,
209,놓다,VERB,"to lay, to put",置く,"poner, sobreponer",meletakkan,이 상자 어디에 놓을까요?,Where do I put this box?,この箱どこにおきましょうか?,¿Dónde pongo esta caja?,Dimana saya meletakkan kotak ini?,
210,누구,PRONOUN,who,誰,quién,siapa,누구세요?,Who are you?,どなたですか?,¿Quién es usted?,Siapa anda?,
211,누나,NOUN,boy's older sister,姉,hermana mayor,kakak perempuan,누나는 엄마랑 닮았다.,My older sister looks like my mom.,姉は母と似ている。,Mi hermana mayor se parece a mi mamá.,Kakak perempuan saya mirip dengan ibu saya,
212,눈,NOUN,eye,"目, 眼",ojo,mata,길에서 그 사람과 내 눈이 마주쳤어.,His eyes met mine on the street.,道でその人と私の目があったの。,Sus ojos se econtraron con los mios en la calle.,Matanya bertatapan dengan mata saya di jalan.  ,
213,눈,NOUN,snow,雪,nieve,salju,눈이 녹아서 길이 굉장히 미끄러워졌어.,"As the snow melted, the roads became very slippery.",雪がとけて道がとても滑りやすくなった。,Los caminos están muy revaladizos porque la nieve se ha derretido.,"Ketika salju mencair , jalanan menjadi sangat licin.",
214,눈물,NOUN,tear,涙,lágrima,air mata,선생님은 학생들이 떠나자 기쁨의 눈물을 흘리셨다.,The teacher cried tears of joy after the students left.,先生は学生たちが去ると喜びの涙を流した。,El profesor derramó sus lágrimas de felicidad cuando sus alumnos se marcharon.,Guru itu menangis air mata bahagia setelah para siswa berangkat.,
215,눕다,VERB,to lie,横になる,acostar,berbaring,그 사람은 침대에 누워 책을 읽고 있었다.,He was lying on the bed reading a book.,その人はベッドに横になって本を読んでいた。,Él estaba acostado en la cama leyendo un libro.,Dia sedang berbaring di tempat tidur membaca sebuah buku.,
216,뉴스,NOUN,news,ニュース,noticias,berita,대단한 뉴스라는 게 뭐야?,What's the big news?,すごいニュースって何?,¿Cuál es la gran noticia?,Ada berita besar apa?,
217,느낌 | 느끼다,NOUN | VERB,feeling | to feel,感じ | 感じる,"sentimiento, sentir",perasaan; merasa,나는 갑자기 가슴에 심한 통증을 느꼈다.,I suddenly felt a sharp pain in my chest.,私は急に胸にひどい痛みを感じた。,Sentía repentinamente un dolor agudo en mi pecho.,Tiba-tiba saya merasa nyeri di dada saya. ,
218,늘,ADV,"always, all the time","いつも, 常に","siempre, constantemente","selalu, setiap waktu",한국은 늘 덥나요?,Is it always hot in Korea?,韓国は常に暑いんですか?,¿Corea es siempre caluroso?,Apakah selalu panas di Korea? ,
219,늘어나다,VERB,"to stretch; to grow, to increase",伸びる; 増える,"estirar, alargar","merobek; tumbuh, meningkatkan ",나 이 스웨터 다시는 안 입을 거야. 늘어났어.,I won't wear this sweater again. It has stretched.,私このセーター二度と着ない。 伸びた。,No usaré este suéter otra vez. Se estiró.,Saya tidak akan memakai sweater ini lagi. Sudah robek. ,
220,능력,NOUN,ability,能力,"capacidad, abilidad",kemampuan,특별한 능력이 있는 사람만이 이 일을 할 수 있다.,Only one with special abilities can do this work.,特別な能力がある人だけこの事ができる。,Solamente uno con capacidades especiales puede hacer este trabajo.,Hanya orang dengan kemampuan khusus dapat melakukan pekerjaan ini.,
221,늦다,"VERB, ADJ",to be late ,遅れる; 遲い,"atrasar, llegar tarde",terlambat,서둘러. 우리 늦겠다.,Hurry up. We are going to be late.,急いで。 私たち遅れる。,Apúrate. Vamos a llegar tarde.,Cepat. Kita akan terlambat.,
222,다,"NOUN, ADV",all; almost,"すべて， 全部, 皆; ほとんど",casi,semua; hampir,모두 다 왔을 때 파티는 거의 다 끝나 있었다.,The party was almost finished when we all arrived.,皆が来た時パーティーはほとんど終わりに近かった。,Cuando llegamos el partido estaba casi terminado.,Pesta sudah hampir selesai ketika kami semua datang.,
223,다녀오다,VERB,to go and get back,行って来る,ir y volver,pergi dan kembali,일본을 하루 만에 다녀올 수 있나요?,Is it possible to go to Japan and get back in a day?,日本に日帰りで行って来ることができるんですか?,¿Es posible ir y volver a Japón en un solo día?,Apakah mungkin untuk pergi ke Jepang dan kembali dalam sehari?,
224,다니다,VERB,to go,通う,ir,pergi,어렸을 때는 목욕탕에 잘 다녔다.,"When I was young, I used to go to a public bath.",幼い頃は風呂場によく通った。,"Cuando era joven, solía ir a un baño público.","Ketika saya masih muda, saya biasanya pergi ke pemandian umum.",
225,다르다,ADJ,to be different ,違う,"ser diferente, distinto",berbeda,"그들은 쌍둥이지만, 성격은 완전히 다르다.","Although they are twins, their personalities are totally different.","彼らは双子だが, 性格はまったく違う。","Aunque son gemelos, sus personalidades son totalmente diferentes.","Meskipun mereka kembar, kepribadian mereka sama sekali berbeda.",
226,다리,NOUN,leg,足,pierna,kaki,다리를 꼬고 저기에 앉아 있는 사람이 누구예요?,Who is the girl sitting with her legs crossed over there?,足を組んであそこに座っている人は誰ですか?,¿Quién es la muchacha que se sienta con las piernas cruzadas?,Siapa gadis yang duduk menyilangkan kaki disana?,
227,다리,NOUN,bridge,橋,puente,jembatan,다리를 건너자.,Let's cross the bridge.,橋を渡ろう。,Crucemos el puente.,Mari kita menyebrang jembatan.,
228,다시,ADV,again,"再び, 又","otra vez, nuevamente",lagi,절대로 다시 그 일을 하지 않을 거야.,I'll never do that again.,絶対に又とはその仕事をしないつもりだ。,Nunca haré eso otra vez.,Saya tidak akan pernah melakukannya lagi.,
229,다양하다,ADJ,to be various ,多様だ,"(ser) vario, diferente, amplio",bermacam-macam,그들은 다양한 서비스를 제공한다.,They offer various services.,彼らは多様なサービスを提供する。,Ofrecen varios servicios.,Mereka menawarkan bermacam-macam pelayanan.,
230,다음,NOUN,next,次の,siguiente,selanjutnya,다음 비행기는 언제 있어요?,When is the next flight?,次の飛行機はいつありますか?,¿Cuándo es el siguiente vuelo?,Kapan penerbangan selanjutnya?,
231,다치다,VERB,"to hurt, to be wounded","傷付く, けがをする",lastimar,terluka,어쩌다 다치셨어요?,How did you get hurt?,どの様にけがをしましたか?,¿Cómo se lastimó?,Bagaimana anda bisa terluka?,
232,닦다,VERB,"to clean, to wash",磨く,"limpiar, ordenar","membersihkan, mencuci",그 선수는 수건으로 얼굴의 땀을 닦았다.,The player wiped the sweat off his face with a towel.,その選手はタオルで顔の汗をぬぐった。,El jugador limpió el sudor de su cara con una toalla.,Pemain itu menyeka keringat di wajahnya dengan handuk.,
233,단어,NOUN,word,単語,palabra,kata,저는 심지어 이 기본적인 단어들도 몰라요.,I don't even know these basic words.,私は甚だしくはこの基本的な単語らも分かりません。,Incluso no sé estas palabras básicas.,Saya bahkan tidak tahu kata-kata dasar ini.,
234,닫다,VERB,to close,閉める,cerrar,menutup,창문 좀 닫아라.,Close the window.,窓ちょっと閉めなさい。,Cerrar la ventana.,Tutup jendelanya.,
235,달,NOUN,the moon; month,月 (げつ); 月 (つき),luna,bulan; bulan,이번 달에는 언제 보름달을 볼 수 있어요?,When can we see a full moon this month?,今月にはいつ満月を見られますか?,¿Cuándo podemos ver la Luna Llena este mes?,Kapan kita bisa melihat bulan purnama bulan ini?,
236,달다,ADJ,to be sweet,甘い,dulce,manis,이 케이크는 맛이 달다.,This cake tastes sweet.,このケーキは甘い。,Esta torta sale dulce.,Kue ini rasanya manis.,
237,달라지다,VERB,"to change, to alter",変わる,"(ser) cambiado, alterado",merubah,세상이 지난 10년 동안 아주 많이 달라졌다.,The world has changed a lot during the last ten years.,世の中が去る十年の間非常に変わった。,El mundo ha cambiado mucho durante estos diez años.,Dunia telah banyak berubah selama sepuluh tahun terakhir. ,
238,달러,NOUN,dollar,ドル,dollar,dollar,한 달에 500달러요.,Five hundred dollars a month.,一月に五百ドルです。,Quinientos dólares por mes.,Lima ratus dollar sebulan.,
239,달력,NOUN,calendar,カレンダー,calendario,kalender,엄마 생일을 달력에 표시해 두세요.,Mark your mother's birthday on the calendar.,お母さんの誕生日をカレンダーに示しておいてください。,Marque el cumpleaños de tu madre en el calendario.,Tandai hari ulang tahun ibumu pada kalender.,
240,닭,NOUN,chicken,鷄,pollo,ayam,닭이 먼저예요? 달걀이 먼저예요?,"Which came first, the chicken or the egg?",ニワトリが先ですか? たまごが先ですか?,"¿Qué vino primero, el pollo o el huevo?","Mana yang keluar lebih dulu, ayam atau telur? ",
241,닭고기,NOUN,"chicken, poultry",鳥肉,carne de pollo,"ayam, unggas",인터넷으로 닭고기 스프 요리법 좀 찾아봐.,Please look up a recipe for chicken soup on the internet.,インターネットで鳥肉スープの作り方ちょっと探してみて。,"Por favor, busca por internet una receta para la sopa de carne de pollo.",Tolong cari resep untuk sup ayam di internet.,
242,담다,VERB,to put,"盛る, 入れる","poner, coger",meletakkan,이 물건들을 가방에 담아.,Put this item in a bag.,この品物をかばんに入れなさい。,Pon estos artículos en un bolso.,Letakkan barang-barang ini didalam tas.,
243,담배,NOUN,cigarette,タバコ,cigarrillo,rokok,하루에 담배를 얼마나 피우세요?,How many cigarettes do you smoke a day?,一日にタバコをどれ位吸われますか?,¿Cuántos cigarrillos fumas en un día?,Berapa banyak rokok yang anda hisap dalam sehari?,
244,대답 | 대답하다,NOUN | VERB,answer | to answer,返事 | 答える,respuesta; responder,"jawaban, menjawab","나한테 묻지 마, 그냥 대답해.","Don't ask me, just answer.","私にきかないで, ただ答えろ。","No me preguntes, solo responde.","Jangan bertanya padaku, jawab saja. ",
245,대부분,NOUN,most,"大部分, 大半","casi, la mayoría",sebagian besar,그 기사의 대부분은 거짓이야.,Most of the article is false.,その記事の大半は偽りだ。,La mayor parte del artículo es falso.,Sebagian besar artikel itu tidak benar.,
246,대신,"NOUN, ADV",instead (of),代わり (に),en vez de,daripada,미국 사람들은 젓가락 대신 포크를 사용한다.,Americans use forks instead of chopsticks.,アメリカ人々は御箸代わりにフォークを使う。,Los americanos usan tenedores en vez de palillos.,Orang-orang Amerika lebih menggunakan garpu daripada sumpit.,
247,대통령,NOUN,president,大統領,presidente,presiden,예전 대통령들 중에서 제일 좋아하는 사람은 누구야?,Who was your favorite past president?,元大統領たちの中で一番好きな人は誰か?,¿Quién fue tu presidente favorito?,Siapa mantan presiden favorit anda?,
248,대학,NOUN,"college, university",大学,"universidad, facultad","perguruan tinggi, universitas",어느 대학 가고 싶어?,Which university do you want to go to?,どの大学行きたい?,¿A qué universidad deseas ir?,Universitas mana yang ingin anda masuki?,
249,대학생,NOUN,university student,大学生,universitario,mahasiswa,내 여자 친구는 나보다 네 살 어린 대학생이야.,My girlfriend is an undergraduate who is four years younger than me.,僕の彼女は僕より四歳年下の大学生だ。,Mi novia es una estudiante universitaria y es cuatro años menor que yo.,Pacar saya adalah seorang mahasiswa yang empat tahun lebih muda dari saya.,
250,대화,NOUN,"talk, conversation",対話,"charla, conversación, diálogo","bicara, Percakapan","오랜 대화 끝에, 그들은 헤어지기로 결정했다.","After a long talk, they decided to break up.","長年の対話の末, 彼らは別れることに決めた。","Después de que una charla larga, ellos decidieron cortar.",Setelah pembicaraan panjang mereka memutuskan untuk berpisah.   ,
251,댁,NOUN,"home, house (honorific of 집)",お宅,residencia (casa de una persona superior),rumah (sebutan penghormatan pada 집),여기가 우리 선생님 댁이야.,This is my teacher's house.,ここがうちの先生のお宅だ。,Ésta es la residencia de mi profesor.,Ini adalah rumah guru saya.,
252,더,ADV,more,もっと,más,lagi,더 할 말 있으세요?,Do you have anything more to say?,もっと他に言う事ありますか?,¿Tienes otra cosa más para decir?,Ada lagi yang ingin anda katakan?,
253,던지다,VERB,to throw,投げる,"lanzar, tirar",melempar,그는 할 수 있는 한 멀리 공을 던졌다.,He threw the ball as far as he could.,彼はできる限り遠く球を投げた。,Él lanzó la bola lo más alto que pudo.,Dia melempar bola sejauh yang dia bisa.,
254,덥다,ADJ,to be hot,暑い,(hacer) calor ,panas,한국은 여름에 굉장히 더워요.,Korea is very hot in the summer.,韓国は夏にとても暑いです。,En Corea hace mucho calor en verano.,Korea sangat panas pada musim panas. ,
255,도서관,NOUN,library,図書館,biblioteca,perpustakaan,책을 도서관에 반납하세요.,You should return those books to the library.,本を図書館に返してください。,Debes devolver esos libros a la biblioteca.,Kamu sebaiknya mengembalikan buku-buku itu ke perpustakaan.,
256,도시,NOUN,city,都市,ciudad,kota,나는 도시에서 운전하는 걸 좋아하지 않는다.,I don't like driving in the city.,私は都市で運転するのが好きではない。,No me gusta conducir en la ciudad.,Saya tidak suka mengemudi di kota.,
257,도움,NOUN,help ,助け ,ayuda,bantuan,도움이 필요해요.,I need your help.,助けが必要です。,Necesito ayuda.,Saya butuh bantuan.,
258,도착 | 도착하다,NOUN | VERB,arrival | to arrive,到着 | 到着する,arrivo | arrivar,kedatangan; datang,기차가 곧 도착할 거야.,The train will be arriving shortly.,汽車がすぐ到着するだろう。,El tren arrivará pronto.,Kereta akan segera datang.,
259,돈,NOUN,money,お金,dinero,uang,돈 주세요.,Give me the money.,お金を払って下さい。,Dame el dinero.,Berikan saya uangnya.,
260,돌다,VERB,"to turn, to rotate","回る, 曲がる","dar vuelta, rotar, girar","berbelok, memutar",코너에서 오른쪽으로 도세요.,Turn right at the corner.,コーナーで右側に曲がってください。,Dar vuelta a la derecha en la esquina.,Belok kanan diujung.,
261,돌리다,VERB,"to turn, to spin",回す,"dar vuelta, girar",berputar,아이들이 팽이를 돌리면서 놀고 있다.,Children are playing by spinning a top.,子供達がこまを回しながら遊んでいる。,Los niños están jugando haciendo girar una peonza.,Anak-anak sedang bermain gasing dengan diputar ,
262,돌아가다,VERB,"to return, to go back",帰る,retroceder,kembali,"길을 잃어서, 우리는 왔던 길로 돌아가야 했다.","Because we were lost, we had to go back the way we came.","道に迷って, 私たちは来た道を帰らざるを得なかった。","Porque nos perdimos, tuvimos que regresar de la manera en que vinimos.","Karena kita tersesat, kita harus kembali ke jalan semula.",
263,돌아오다,VERB,"to return, to come back","帰って来る, 戻る","regresar, volver",kembali,아빠는 언제 돌아와?,When is Dad coming back?,パパはいつ帰って来る?,¿Cuándo vuelve papá?,Kapan ayah akan kembali?,
264,돕다,VERB,to help,手伝う,ayudar,membantu,도와주세요!,Please help me!,手伝ってください!,¡Ayudenme por favor!,Tolong bantu saya!,
265,동네,NOUN,"village, neighborhood",町内,"aldea, vencindario, barrio",desa; lingkungan,낯선 사람이 우리 동네를 돌아다니고 있었다.,A stranger was wandering through our village.,見知らぬ人が私たちの町内を歩き回っていた。,Un extranjero merodeaba a través de nuestra aldea.,Orang asing sedang mengelilingi desa kami.,
266,동물,NOUN,animal,動物,animal,binatang,그는 우연히 알려지지 않은 동물을 발견했다.,He accidently found an unknown animal.,彼は偶然に知られていない動物を見つけた。,Él accidentalmente encontró un animal desconocido.,Dia tidak sengaja menemukan binatang tak dikenal. ,
267,동생,NOUN,younger sibling,弟 or 妹,hermano,adik,나는 동생과 사이가 안 좋아요.,I am not on good terms with my younger brother(sister).,私は弟(妹)と仲が良くありません。,No estoy de buen humor con mi hermano (hermana) menor.,Saya tidak berhubungan baik dengan adik laki-laki (perempuan) saya. ,
268,동안,NOUN,"during, while",間,"durante, mientras",selama,내가 없는 동안 잘 지내.,Take care while I'm gone.,私がいない間元気でね。,Cuídate mientras no estoy.,Jagalah selama saya pergi.,
269,동쪽,NOUN,east ,東,este,timur,우리 집의 창문은 동쪽으로 향해 있다.,The window of our house faces east.,我家の窓は東方を向いている。,La ventana de nuestra casa hace frente al Este.,Jendela rumah kami menghadap timur.,
270,돼지,NOUN,pig,豚,cerdo,babi,한국 사람들은 돼지꿈이 행운이 있다고 믿어요.,Koreans believe that dreams about pigs are the luckiest.,韓国の人々は豚の夢に幸運があると信じています。,Los coreanos creen que los sueños sobre cerdos son los más afortunados.,Orang Korea percaya bahwa bermimpi tentang babi-babi adalah paling beruntung.,
271,돼지고기,NOUN,pork,豚肉,carne de cerdo,daging babi,포도주는 소고기나 돼지고기와 잘 어울립니다.,Wine goes best with beef or pork.,ぶどう酒は牛肉や豚肉とよく合います。,El vino va bien con el bife o la carne de cerdo.,Wine paling enak dengan daging sapi atau daging babi.,
272,되다,VERB,to become,(に)なる,convertir,menjadi,부모님은 내가 의사가 되길 바라셨죠.,My parents wanted me to become a doctor.,両親は私に医者になってほしかったんです。,Mis padres quisieron convertirme en doctor.,Orang tua saya menginnginkan saya menjadi dokter ,
273,두다,VERB,"to put, to set",置く,poner,meletakkan,책상 위에 두세요.,Put it on the desk.,机の上に置いてください。,Pónlo arriba del escritorio.,Letakkan ini di meja.,
274,뒤,NOUN,back,後,"atrás, posterior",belakang,뒤에서는 그가 누구인지 알 수 없었다.,From the back I couldn't tell who he was.,後からでは彼が誰なのか分からなかった。,Desde atrás no se podía reconocer quiénes eran.,Dari belakang Saya tidak bisa mengatakan siapa dia. ,
275,드리다,VERB,to give (humble word of 주다),差し上げる,dar (término utilizado a un superior),memberi (kata sederhana dari주다),부모님께 용돈은 드리세요?,Do you give pocket money to your parents?,ご両親に小遣いは差し上げますか?,¿Les das dinero a tus padres?,Apakah anda memberikan uang bulanan pada orang tua anda?,
276,듣다,VERB,"to hear, to listen",聞く,"escuchar, oir",mendengarkan,내 말 좀 들어 봐.,"Please, listen to me.",私の話ちょっと聞いてみろ。,"Por favor, escúchame.","Tolong, dengarkan saya. ",
277,들다 ,VERB,"to take, to cost",かかる,"costar, tomar (tiempo)",menghabiskan,그 일을 마치는 데 시간이 많이 들었어요.,It took me a lot of time to finish the work.,その事を終えるのに時間がたくさんかかったんです。,Me tomó mucho tiempo acabar con el trabajo.,Menghabiskan banyak waktu untuk saya menyelesaikan pekerjaan ini,
278,들다 ,VERB,"to raise, to hold",持つ; 上げる,"levantar, subir","mengangkat, memegang",손 들어!,Raise your hand!,手を上げろ!,¡Levánta tu mano!,Angkat tanganmu.,
279,들리다,VERB,"to be heard, to sound",聞こえる,sonar,"terdengar, bersuara","이상하게 들릴지도 모르지만, 내가 한 말은 사실입니다.","Strange as it may sound, what I said was true.","変に聞こえるかも知れないが, 私の言った言葉は事実です。","Te puede sonar extraño, pero lo que yo dije era cierto.","Mungkin ini terdengar aneh, apa yang saya katakan adalah benar.",
280,들어가다,VERB,"to enter, to go into",入る,entrar,masuk,들어가지 마시오!,Do not enter!,入らないでください!,¡No entrar!,Jangan masuk!,
281,들어오다,VERB,"to enter, to come into","入る, 入ってくる","entrar, venir",masuk,안으로 들어오세요.,Please come in. ,中にお入りなさい。,"Entre, por favor.",Silahkan masuk.,
282,등,NOUN,back,背,espalda,punggung,아기를 등에 업어라.,Carry the baby on your back.,赤んぼうを背に負いなさい。,Carga el niño en la espalda. ,Gendong bayi itu di punggung anda.,
283,등산 | 등산하다,NOUN | VERB,"hiking, climbing | to climb",山登り | 山登る,ir a escalar; escalar,mendaki,어제는 등산하기에 좋은 날씨였다.,Yesterday's weather was good for climbing.,昨日は山登るのに良い天気だった。,Ayer hacía un lindo clima para ir a escalar. ,Kemarin cuacanya bagus untuk mendaki.,
284,따뜻하다,ADJ,to be warm,暖かい,es caluroso,hangat,오늘 날씨 따뜻하네요.,It is warm today.,今日の天気暖かいですね。,Hoy el clima es caluroso.,Hari ini udaranya hangat.,
285,딸,NOUN,daughter,娘,hija,anak perempuan,남편은 딸을 갖고 싶어해요.,My husband wants to have a daughter.,夫は娘を欲しがります。,Mi marido desea tener una hija.,Suami saya ingin mempunyai seorang anak perempuan.,
286,딸기,NOUN,strawberry,いちご,frutilla,stroberi,이 치약은 딸기 맛이 난다.,This toothpaste is strawberry-flavored.,この歯磨き粉はいちごの味がする。,Pasta dental sabor a frutilla.,Pasta gigi ini rasa stroberi.,
287,땅,NOUN,"land, ground",土地,tierra ,tanah,이 땅 누구 거야?,Who does this land belong to?,この土地は誰のものか?,¿De quién es esta Tierra?,Tanah ini milik siapa?,
288,때,NOUN,the time,時,vez,"waktu, saat",그녀는 그를 처음 만났을 때부터 그를 좋아했다고 말했다.,She said she liked him the first time she met him.,彼女は彼に初めて会った時から彼が好きだったと言った。,Ella dijo que le gustó desde la primera vez en que lo vio.,Dia bilang dia menyukainya sejak saat pertama dia bertemu dengannya.,
289,때문,NOUN,"because, because of","(の)ため, (の)わけ, (の)せい","debido, por","karena, (oleh) karena",다 너 때문이야.,It's all because of you.,すべてお前のせいだ。,Es toda debido a ti.,Ini semua karena anda.,
290,떠나다,VERB,to leave,"去る, 出る, 発つ","ir, dejar",berangkat/meninggalkan,언제 떠나?,When are you leaving?,いつ発つの?,¿Cuándo te estás yendo?,Kapan anda akan berangkat?,
291,떠오르다,VERB,to rise up; to occur,"浮かぶ, 浮く",ocurrir,muncul; terpikir,좋은 생각이 떠올랐다.,A good idea occurred to me.,良い考えが浮んだ。,Se me ocurrió una buena idea.,Sebuah ide bagus terpikir olehku.,
292,떡,NOUN,rice cake,餠,torta de arroz,kue beras,이 떡 먹어봤니? 맛있어.,Have you ever tried this rice cake? It's delicious.,この餠食べて見た? おいしいよ。,¿Has probado esta torta de arroz? Es deliciosa.,Anda sudah pernah mencoba kue beras ini? Enak.,
293,또,ADV,again,また,"otra vez, nuevamente",lagi,학교에 또 늦은 거야?,Were you late for school again?,学校にまた遅れたのか?,¿Llegaste a la escuela tarde otra vez?,Apakah anda terlambat ke sekolah lagi?,
294,똑같다,ADJ,"to be the same, to be equal",まったく同じだ,"igual, semejante","sama, setara",나는 그와 똑같은 mp3 플레이어를 샀다.,I bought the same MP3 player as his.,私は彼とまったく同じmp3 プレーヤーを買った。,Compré el mismo  MP3 que el suyo.,Saya membeli MP3 player yang sama dengannya.,
295,똑바로,ADV,"straight; correctly, clearly",真っすぐ (に); しゃんと; はっきり,"recto, correcto",tegak; benar.jelas,똑바로 서서 똑바로 말해 봐.,Stand straight and speak clearly.,しゃんと立ってはっきり言って見ろ。,Estar parado recto y hablar correctamente.,Berdiri dengan tegak dan bicara dengan jelas.,
